outputA/bonsai, test, iter_-1, 366.57
outputA/counter, test, iter_-1, 305.03
outputA/data_bicycle, test, iter_-1, 316.43
outputA/data_drjohnson, test, iter_-1, 424.45
outputA/data_treehill, test, iter_-1, 338.43
outputA/data_truck, test, iter_-1, 330.54
outputA/flowers, test, iter_-1, 333.88
outputA/garden, test, iter_-1, 327.74
outputA/kitchen, test, iter_-1, 329.99
outputA/playroom, test, iter_-1, 470.14
outputA/room, test, iter_-1, 379.75
outputA/stump, test, iter_-1, 341.63
outputA/train, test, iter_-1, 391.04
outputA/bonsai, test, iter_-1, 343.52
outputA/counter, test, iter_-1, 273.14
outputA/data_bicycle, test, iter_-1, 281.56
outputA/data_drjohnson, test, iter_-1, 362.65
outputA/data_treehill, test, iter_-1, 313.98
outputA/data_truck, test, iter_-1, 286.65
outputA/flowers, test, iter_-1, 323.32
outputA/garden, test, iter_-1, 299.93
outputA/kitchen, test, iter_-1, 283.70
outputA/playroom, test, iter_-1, 403.66
outputA/room, test, iter_-1, 327.95
outputA/stump, test, iter_-1, 324.11
outputA/train, test, iter_-1, 359.43
outputA/bonsai, test, iter_-1, 286.35
outputA/counter, test, iter_-1, 226.63
outputA/data_bicycle, test, iter_-1, 202.51
outputA/data_drjohnson, test, iter_-1, 251.06
outputA/data_treehill, test, iter_-1, 241.61
outputA/data_truck, test, iter_-1, 224.57
outputA/flowers, test, iter_-1, 261.73
outputA/garden, test, iter_-1, 225.24
outputA/kitchen, test, iter_-1, 216.96
outputA/playroom, test, iter_-1, 313.02
outputA/room, test, iter_-1, 261.03
outputA/stump, test, iter_-1, 257.28
outputA/train, test, iter_-1, 297.94
outputA/bonsai, test, iter_-1, 221.18
outputA/counter, test, iter_-1, 160.34
outputA/data_bicycle, test, iter_-1, 66.71
outputA/data_drjohnson, test, iter_-1, 113.59
outputA/data_treehill, test, iter_-1, 131.56
outputA/data_truck, test, iter_-1, 112.18
outputA/flowers, test, iter_-1, 140.18
outputA/garden, test, iter_-1, 82.07
outputA/kitchen, test, iter_-1, 133.89
outputA/playroom, test, iter_-1, 163.30
outputA/room, test, iter_-1, 151.81
outputA/stump, test, iter_-1, 123.64
outputA/train, test, iter_-1, 191.53
outputA/bonsai, test, iter_-1, 244.53
outputA/counter, test, iter_-1, 196.05
outputA/data_bicycle, test, iter_-1, 91.66
outputA/data_drjohnson, test, iter_-1, 157.44
outputA/data_treehill, test, iter_-1, 149.16
outputA/data_truck, test, iter_-1, 135.70
outputA/flowers, test, iter_-1, 147.22
outputA/garden, test, iter_-1, 100.68
outputA/kitchen, test, iter_-1, 164.67
outputA/playroom, test, iter_-1, 220.94
outputA/room, test, iter_-1, 212.51
outputA/stump, test, iter_-1, 131.38
outputA/train, test, iter_-1, 222.17
outputA/bonsai, test, iter_-1, 327.50
outputA/counter, test, iter_-1, 267.77
outputA/data_bicycle, test, iter_-1, 252.46
outputA/data_drjohnson, test, iter_-1, 336.54
outputA/data_treehill, test, iter_-1, 285.84
outputA/data_truck, test, iter_-1, 277.78
outputA/flowers, test, iter_-1, 290.10
outputA/garden, test, iter_-1, 272.66
outputA/kitchen, test, iter_-1, 265.44
outputA/playroom, test, iter_-1, 404.90
outputA/room, test, iter_-1, 319.69
outputA/stump, test, iter_-1, 291.46
outputA/train, test, iter_-1, 332.58
outputB1/amsterdam, test, iter_-1, 229.16
outputB1/barcelona, test, iter_-1, 236.36
outputB1/bilbao, test, iter_-1, 218.63
outputB1/chair, test, iter_-1, 516.14
outputB1/chicago, test, iter_-1, 241.43
outputB1/drums, test, iter_-1, 478.28
outputB1/ficus, test, iter_-1, 549.05
outputB1/hollywood, test, iter_-1, 237.25
outputB1/hotdog, test, iter_-1, 455.72
outputB1/lego, test, iter_-1, 500.39
outputB1/materials, test, iter_-1, 474.33
outputB1/mic, test, iter_-1, 466.57
outputB1/pompidou, test, iter_-1, 226.96
outputB1/quebec, test, iter_-1, 235.26
outputB1/rome, test, iter_-1, 221.46
outputB1/ship, test, iter_-1, 439.85
outputA/data_bicycle, test, iter_-1, 246.93
outputGS/data_bicycle, test, iter_-1, 71.00
outputGS/data_bicycle, test, iter_-1, 70.81
outputGS/data_drjohnson, test, iter_-1, 123.39
outputGS/data_truck, test, iter_-1, 118.89
outputA/data_drjohnson, test, iter_-1, 323.36
outputA/data_truck, test, iter_-1, 274.83
outputB1/barcelona, test, iter_-1, 237.41
outputB1/chair, test, iter_-1, 517.81
outputA/bonsai, test, iter_-1, 305.01
outputA/counter, test, iter_-1, 226.38
outputA/data_bicycle, test, iter_-1, 211.38
outputA/data_drjohnson, test, iter_-1, 266.49
outputA/data_treehill, test, iter_-1, 252.76
outputA/data_truck, test, iter_-1, 237.02
outputA/flowers, test, iter_-1, 270.66
outputA/garden, test, iter_-1, 237.30
outputA/kitchen, test, iter_-1, 225.20
outputA/playroom, test, iter_-1, 346.93
outputA/room, test, iter_-1, 270.58
outputA/stump, test, iter_-1, 262.55
outputA/train, test, iter_-1, 293.91
outputA/bonsai, test, iter_-1, 318.97
outputA/counter, test, iter_-1, 253.45
outputA/data_bicycle, test, iter_-1, 218.18
outputA/data_drjohnson, test, iter_-1, 298.13
outputA/data_treehill, test, iter_-1, 256.83
outputA/data_truck, test, iter_-1, 253.84
outputA/flowers, test, iter_-1, 269.79
outputA/garden, test, iter_-1, 238.63
outputA/kitchen, test, iter_-1, 237.21
outputA/playroom, test, iter_-1, 383.72
outputA/room, test, iter_-1, 304.68
outputA/stump, test, iter_-1, 263.47
outputA/train, test, iter_-1, 297.19
outputA/data_truck, test, iter_-1, 112.24
outputA/train, test, iter_-1, 191.27
outputA/playroom, test, iter_-1, 325.74
outputA/data_drjohnson, test, iter_-1, 330.06
outputA/playroom, test, iter_-1, 393.05
outputA/data_drjohnson, test, iter_-1, 328.41
outputA/playroom, test, iter_-1, 399.85
outputA/data_drjohnson, test, iter_-1, 325.36
outputA/playroom, test, iter_-1, 410.90
outputA/data_drjohnson, test, iter_-1, 331.05
outputA/playroom, test, iter_-1, 399.78
outputA/data_drjohnson, test, iter_-1, 326.83
outputA/playroom, test, iter_-1, 398.81
outputA/data_drjohnson, test, iter_-1, 320.81
outputA/playroom, test, iter_-1, 390.64
outputA/data_drjohnson, test, iter_-1, 323.74
outputA/playroom, test, iter_-1, 410.91
outputA/data_drjohnson, test, iter_-1, 303.25
outputA/playroom, test, iter_-1, 365.58
outputA/bonsai, test, iter_-1, 309.62
outputA/counter, test, iter_-1, 243.55
outputA/data_bicycle, test, iter_-1, 241.53
outputA/data_drjohnson, test, iter_-1, 299.06
outputA/data_treehill, test, iter_-1, 276.20
outputA/data_truck, test, iter_-1, 250.77
outputA/flowers, test, iter_-1, 288.18
outputA/garden, test, iter_-1, 257.95
outputA/kitchen, test, iter_-1, 233.23
outputA/playroom, test, iter_-1, 360.01
outputA/room, test, iter_-1, 281.36
outputA/stump, test, iter_-1, 286.35
outputA/train, test, iter_-1, 314.16
outputA/bonsai, test, iter_-1, 318.64
outputA/counter, test, iter_-1, 250.77
outputA/data_bicycle, test, iter_-1, 233.57
outputA/data_drjohnson, test, iter_-1, 320.49
outputA/data_treehill, test, iter_-1, 265.89
outputA/data_truck, test, iter_-1, 257.76
outputA/flowers, test, iter_-1, 274.49
outputA/garden, test, iter_-1, 258.48
outputA/kitchen, test, iter_-1, 248.34
outputA/playroom, test, iter_-1, 400.40
outputA/room, test, iter_-1, 307.54
